Date,Open,High,Low,Close,Volume,Adj Close
5/23/2017,51.98,52.630001,51.880001,52.200001,11087300,51.844528
5/24/2017,52.25,52.299999,51.740002,52.009998,9383600,51.655819
5/25/2017,52.380001,52.59,52.209999,52.349998,7627500,51.9935
5/26/2017,52.349998,52.759998,52.23,52.59,5921300,52.231869
5/30/2017,52.759998,53.02,52.639999,52.919998,8039600,52.559616
5/31/2017,53.02,53.279999,52.709999,52.990002,8938800,52.629147
6/1/2017,53.060001,53.299999,52.209999,52.299999,13352100,52.120892
6/2/2017,52.700001,53.009998,52.360001,52.98,18511200,52.798561
6/5/2017,53,53.23,52.700001,53.009998,5748900,52.828457
6/6/2017,52.900002,53.099998,52.43,52.48,8923000,52.300274
6/7/2017,52.790001,53.360001,52.75,53.23,7438300,53.047707
6/8/2017,53.23,54.139999,53.150002,53.200001,7680200,53.017811
6/9/2017,53.200001,53.470001,52.799999,53.459999,8347400,53.276917
6/12/2017,53.509998,54.25,53.5,54.029999,9180000,53.844967
6/13/2017,54.029999,54.66,53.84,54.310001,8720100,54.124008
6/14/2017,54.48,54.669998,53.950001,54.66,6783900,54.472809
6/15/2017,54,54.049999,52.73,52.900002,16041100,52.718838
6/16/2017,51.75,51.84,50.790001,51.099998,25725500,50.924999
6/19/2017,51.419998,52.220001,51.400002,52.02,11265300,51.84185
6/20/2017,52.049999,52.130001,51.099998,51.560001,10676500,51.383427
6/21/2017,51.900002,52.689999,51.900002,52.59,13021700,52.409897
6/22/2017,52.599998,52.619999,52.09,52.400002,10660700,52.220551
6/23/2017,52.150002,52.919998,51.669998,52.849998,8522400,52.669006
6/26/2017,52.950001,53.57,52.669998,53.279999,7966200,53.097534
6/27/2017,53.189999,53.259998,52.639999,52.950001,7873100,52.768665
6/28/2017,53.169998,53.610001,52.959999,53.360001,7527200,53.177261
6/29/2017,53.330002,53.630001,52.990002,53.169998,14801900,52.987911
6/30/2017,56.599998,59.709999,56.5,59,46553000,58.797947
7/3/2017,58.369999,59.009998,58.330002,58.650002,9910000,58.449146
7/5/2017,58.240002,58.290001,57.509998,57.560001,16167000,57.362881
7/6/2017,57.450001,57.720001,57,57.16,9035700,56.964249
7/7/2017,57.400002,58.080002,57.029999,57.98,8145400,57.781437
7/10/2017,57.889999,58.810001,57.68,58.73,8942400,58.52887
7/11/2017,58.540001,58.93,58.040001,58.18,7223000,57.980755
7/12/2017,58.310001,58.75,58.099998,58.220001,7243100,58.020618
7/13/2017,58.220001,58.580002,57.93,57.939999,8108600,57.741573
7/14/2017,57.950001,58.209999,57.639999,58,6345300,57.801369
7/17/2017,58,58.349998,57.759998,57.790001,6885000,57.592091
7/18/2017,57.740002,58.080002,57.470001,57.650002,4922500,57.452572
7/19/2017,57.599998,57.880001,57.389999,57.77,4451100,57.572159
7/20/2017,59.119999,59.59,58.799999,59.099998,11915500,58.897602
7/21/2017,59,60,58.91,59.950001,11048300,59.744694
7/24/2017,59.689999,59.77,58.759998,58.950001,7498900,58.748119
7/25/2017,59.32,59.52,58.919998,59.389999,5157100,59.186611
7/26/2017,59.09,59.130001,58.32,58.360001,5529500,58.160137
7/27/2017,58.599998,58.68,57.990002,58.150002,8259900,57.950859
7/28/2017,58.150002,58.740002,57.970001,58.669998,5112800,58.469074
7/31/2017,58.709999,59.119999,58.330002,59.049999,6225900,58.847775
8/1/2017,59,59.939999,58.900002,59.84,9051700,59.635071
8/2/2017,59.549999,59.950001,59.27,59.790001,4468100,59.585243
8/3/2017,59.799999,60.529999,59.639999,60.139999,5677200,59.93404
8/4/2017,60.169998,60.34,59.630001,59.759998,4106000,59.55534
8/7/2017,59.82,60.099998,59.709999,59.790001,4066700,59.585243
8/8/2017,59.880001,60.119999,59.360001,59.459999,5586400,59.256371
8/9/2017,59.419998,59.970001,59.259998,59.900002,5310900,59.694866
8/10/2017,59.68,59.689999,59.060001,59.07,5585100,58.867706
8/11/2017,58.73,59.27,58.59,58.970001,4980000,58.768051
8/14/2017,59.150002,60,59.130001,59.779999,5838300,59.575275
8/15/2017,58.939999,59.009998,58.290001,58.560001,8913000,58.359455
8/16/2017,58.900002,59.049999,58.220001,58.540001,5489600,58.339523
8/17/2017,58.529999,58.740002,57.419998,57.459999,9148600,57.263218
8/18/2017,54.849998,55.419998,54.169998,54.950001,22905200,54.761818
8/21/2017,54.439999,54.439999,53.110001,53.610001,14289300,53.426407
8/22/2017,53.919998,54.41,53.790001,54.130001,8212800,53.944626
8/23/2017,53.919998,54.080002,53.450001,53.610001,6409400,53.426407
8/24/2017,53.93,53.970001,53.459999,53.84,5461900,53.655617
8/25/2017,54.029999,54.200001,53.540001,53.900002,6416600,53.715412
8/28/2017,54.07,54.43,53.619999,53.73,5269400,53.545994
8/29/2017,52.740002,52.880001,52.07,52.73,12539900,52.549419
8/30/2017,52.799999,52.959999,52.25,52.560001,7434500,52.380001
8/31/2017,52.599998,52.98,52.470001,52.810001,7728900,52.810001
9/1/2017,53,53.450001,52.900002,53.360001,5509800,53.360001
9/5/2017,53.25,53.470001,52.880001,53.009998,6306500,53.009998
9/6/2017,53.119999,53.34,52.709999,52.759998,7407600,52.759998
9/7/2017,52.759998,52.849998,52.34,52.389999,6905800,52.389999
9/8/2017,52.25,52.509998,52.110001,52.200001,8563300,52.200001
9/11/2017,52.380001,53.130001,52.32,53.029999,8649900,53.029999
9/12/2017,53.77,54.09,53.299999,53.400002,7823700,53.400002
9/13/2017,53.450001,53.639999,53.040001,53.52,6086000,53.52
9/14/2017,53.540001,53.889999,53.119999,53.73,7497400,53.73
9/15/2017,53.860001,54.060001,53.52,53.869999,10046800,53.869999
9/18/2017,53.869999,54.16,53.400002,53.5,8166400,53.5
9/19/2017,52.779999,54.049999,52.509998,53.330002,14707200,53.330002
9/20/2017,53.490002,53.639999,53.040001,53.560001,7058000,53.560001
9/21/2017,53.549999,53.639999,53.09,53.189999,8065400,53.189999
9/22/2017,53.02,53.610001,52.799999,53.240002,10962400,53.240002
9/25/2017,53.080002,53.560001,53,53.23,12262400,53.23
9/26/2017,53.18,53.970001,52.98,53.700001,16183700,53.700001
9/27/2017,52.169998,52.689999,51.029999,52.669998,36202500,52.669998
9/28/2017,52.799999,53.029999,52.330002,52.630001,11334700,52.630001
9/29/2017,52.59,52.82,51.759998,51.849998,12189900,51.849998
10/2/2017,52.16,52.209999,51.66,51.869999,7516200,51.869999
10/3/2017,52,52.049999,51.400002,51.470001,8126700,51.470001
10/4/2017,51.509998,52.130001,51.400002,52.080002,8204300,52.080002
10/5/2017,52.009998,52.32,51.779999,52.18,5287400,52.18
10/6/2017,52.200001,52.459999,52.119999,52.419998,5360300,52.419998
10/9/2017,52.23,52.299999,51.5,51.52,6875100,51.52
10/10/2017,51.580002,51.82,51.369999,51.529999,8372700,51.529999
10/11/2017,51.389999,51.52,50.830002,51.029999,9109600,51.029999
10/12/2017,50.98,51.119999,50.349998,50.830002,10658400,50.830002
10/13/2017,50.830002,51.07,50.400002,50.98,16227900,50.98
10/16/2017,50.799999,51.41,50.639999,51.369999,9299300,51.369999
10/17/2017,51.5,52.040001,51.380001,52,9492700,52
